indicator,ISO Country code,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP 2022,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,unemployment (%) 2018,unemployment (%) 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019
Poland,POL,"1,202.80","1,259.90","1,227.90","1,298.30",31953,33798,34287,37503,4.94,4.81,4.63,4.56,4.62,,,,4.62,"1,704",978.7,1014,6.2,3.37,2.12%,2.00%
Portugal,PRT,350.1,359.5,329.1,345.2,34929,36172,34177,35888,5.12,4.89,,5.02,4.68,,,,4.68,"2,661",2216.3,2221.4,11.2,6.65,2.07%,1.90%
Qatar,QAT,253,255,245.7,249.5,93143,93844,89961,93521,3.61,,,2.97,,2.8,3.23,,3.23,"3,900",1730.2,1807.2,0.2,0.26,4.81%,1.50%
Romania,ROU,555.5,578.7,557,589.8,29342,31867,32202,35414,3.12,3.11,2.98,3.1,3.34,,,,3.34,"1,090",687.2,738.6,6.4,5.17,1.95%,2.00%
Russia,RUS,"3,914.00","4,000.00","3,892.70","4,080.30",28821,30068,29916,32803,4.01,3.83,3.76,4.69,4.68,,,,4.68,"1,414",609,653.4,5.7,5.01,4.08%,3.90%
Rwanda,RWA,25.7,28.1,27.2,30.1,2139,2322,2214,2494,4.2,3.65,3.44,3.13,3.07,3.24,3.33,3.82,3.82,143,52.3,51.4,2.5,1.61,1.55%,1.20%
Saudi Arabia,SAU,"1,605.30","1,610.60","1,544.00","1,594.00",48768,48984,46778,49551,,,8.51,8.02,7.09,6.79,7.81,,7.81,"3,121",1341.5,1316.3,5.5,7.36,6.59%,8.00%
Senegal,SEN,52.5,54.9,55.6,59,3389,3510,3504,3769,5.72,5.46,5.11,4.62,4.86,5.35,5.5,,5.5,97,61.8,59.1,9.5,3.72,1.76%,1.50%
Serbia,SRB,121.9,127.1,125.9,135.3,17718,18822,19094,21432,3.93,3.79,3.63,3.71,3.58,3.62,,,3.58,"1,324",617.1,641,16.5,11.81,2.09%,2.20%
Sierra Leone,SLE,12.7,13.3,13.1,13.5,1694,1777,1727,1816,2.66,3.06,3.06,4.66,6.99,7.45,8.81,,8.81,256,44.3,46.2,3,5.33,0.61%,0.70%
Singapore,SGP,554.5,560.6,537.3,578.3,100686,102431,99681,116486,2.92,2.86,2.87,2.77,2.86,2.74,2.51,,2.51,"3,681",2667.7,2632.7,1.8,3.62,2.98%,3.20%
Slovakia,SVK,169.7,174.1,166.5,171.6,31215,31967,31356,33010,4.23,4.59,3.91,3.94,3.97,,,,3.97,"2,062",1299.9,1342.1,10,6.74,1.71%,1.80%
Slovenia,SVN,78.8,81.3,77.9,84.2,38962,40671,39725,43625,5.29,4.91,4.79,4.78,4.94,,,,4.94,"2,734",2169.6,2219.1,8.7,4.42,1.22%,1.10%
Solomon Islands,SLB,833.9,850.9,801.9,832.1,2762,2773,2618,2656,9.81,10.13,12,12.11,10.81,11.13,12.75,,12.75,173,96.4,111.9,31.4,1.03,,
Somalia,SOM,1.8,1.8,1.7,1.7,1157,1237,1246,1302,,,,,,,,,,,,,6.6,19.86,,
South Africa,ZAF,17,18.3,18.8,19.4,14207,14289,13359,14420,5.49,5.48,5.44,5.6,5.64,5.92,6.19,,6.19,"1,086",564.5,546.7,25.9,33.56,,1.00%
South Sudan,SSD,801.9,802.8,751.2,788.1,,,,,1.23,1.47,1.54,,,,,,,71,26.7,22.6,,13.91,2.37%,3.40%
Spain,ESP,"1,883.90","1,923.20","1,715.10","1,803.00",40696,41695,37756,40775,4.3,4.29,4.23,4.21,4.18,,,,,"3,183",2740.3,2711.2,19.4,14.73,1.37%,1.20%
Sri Lanka,LKA,278.7,285.2,274.9,284.9,13168,13632,13227,14127,1.93,2.23,,,2.14,1.93,,,1.93,353,162.1,160.7,5,5.39,1.88%,1.90%
Sudan,SDN,182.7,178.7,172.2,172.4,4474,4350,4142,4217,,,,,,,,,,277,59.5,46.9,13.3,19.81,1.02%,1.60%
Suriname,SUR,10.9,11.1,9.3,9,19460,19840,16733,16676,,5.53,5.64,5.46,4.92,6.83,5.01,,5.01,"1,017",475,619.2,10,10.06,,
Sweden,SWE,532.7,543.2,527.3,552.6,53522,54599,55065,59324,7.57,7.44,7.62,7.57,7.64,,,,7.64,"5,299",6005.1,5671.4,7.1,8.66,1.28%,1.10%
Switzerland,CHE,601.1,608.4,593.8,615.7,71660,72034,71745,77324,4.88,4.94,4.93,4.95,4.86,,,,4.86,"7,583",9870.7,9666.3,4.6,5.32,0.71%,0.70%
Syria,SYR,,,,,,,,,,,,,,,,,,,,,14.3,10.57,,4.10%
Taiwan,TWN,,,,,,,,,,,,,,,,,,,,,4,,1.74%,1.70%
Tajikistan,TJK,31.1,33.4,34.9,38.1,3497,3733,3854,4288,,4.97,5.76,5.84,5.56,5.71,,,5.71,193,59.8,61.9,10.8,7.75,1.01%,1.20%
Tanzania,TZA,141.6,149.8,152.8,159.3,2652,2773,2780,2933,3.38,4.19,4.1,4.43,3.7,3.6,3.23,3.3,3.3,96,42,40.3,2.6,2.65,1.07%,1.30%
Thailand,THA,"1,256.80","1,283.80","1,204.30","1,223.10",18534,19217,18198,19209,3.72,3.76,3.64,3.36,3.06,2.97,,,2.97,610,278.6,296.2,0.6,1.42,1.32%,1.30%
Timor-Leste,TLS,3.9,4.7,5.2,5.4,3168,3780,4141,4418,7.52,8.45,8.08,7.03,6.73,,,,,141,93.6,92.7,4,5.07,1.14%,1.00%
Togo,TGO,16.3,17.1,17.5,18.4,2111,2211,2223,2380,4.78,5.11,3.69,3.76,4.04,4.07,3.99,,3.99,96,54.9,51.2,6.8,4,1.78%,3.10%
Trinidad and Tobago,TTO,37.5,37.4,34.7,34.3,27617,27960,26125,26868,5.33,3.39,3.95,3.58,3.3,3.7,4.1,,4.1,"2,204",1143.2,1167.9,3.9,4.8,0.89%,0.70%
Tunisia,TUN,131.8,133.6,121.9,126,11670,11903,10879,11595,6.88,6.22,7.32,,,,,,,774,236.7,233.1,14.8,16.82,2.83%,2.60%
Turkiye,TUR,"2,331.70","2,352.50","2,394.70","2,657.80",27961,26867,27235,30472,,,,,4.29,,,,,996,389.9,396.5,10.3,13.39,2.06%,2.70%
Turkmenistan,TKM,86.9,92.3,,,15200,16194,,,,,,,,3.12,,,3.12,"1,004",460.3,500,8.6,5.08,,
Uganda,UGA,90.8,96.6,99.5,102.9,2176,2275,2294,2398,1.91,2.32,2.14,2.25,2.13,1.53,2.59,2.67,2.67,139,32.1,32.4,2.3,2.94,2.42%,2.10%
Ukraine,UKR,521.5,538.2,518,535.6,12632,13345,13087,14220,5.87,5.74,5.01,5.42,5.32,5.44,,,5.44,469,222.5,248.1,8.9,8.88,3.23%,3.40%
United Arab Emirates,ARE,645,667,626.1,,68568,71145,66766,,,,,,,3.87,3.88,,3.88,"2,426",1817.3,1842.7,3.7,3.36,,5.60%
United Kingdom,GBR,"3,113.90","3,165.90","2,872.40","3,086.20",47573,49041,46527,49675,5.56,5.51,5.38,5.38,5.17,,,,,"4,145",4270.2,4312.9,4.8,4.53,2.22%,1.70%
United States,USA,"20,048.20","20,507.10","19,808.90","20,932.30",62805,65095,63028,69288,,4.95,4.8,5.11,4.91,,,,,"9,536",10515.3,10921,4.9,5.46,3.48%,3.40%
Uruguay,URY,79.5,79.7,74.9,78.1,23585,24005,22728,24625,4.58,4.55,4.38,4.47,4.66,4.7,,,4.7,"1,748",1686.1,1661,8.2,10.45,2.26%,2.00%
Uzbekistan,UZB,233.4,246.8,251.4,270.1,7252,7658,7746,8497,5.71,5.49,5.38,5.03,5.9,7,4.92,,4.92,383,82.3,98.6,8.9,7.16,,3.60%
Venezuela,VEN,,,,,,,,,,1.93,1.19,1.34,,,,,,579,464,338.8,6.9,6.41,,0.50%
Vietnam,VNM,912.3,977.6,"1,006.30","1,032.40",9777,10562,10904,11553,,4.47,4.34,4.09,4.17,4.06,,,4.06,334,163.2,180.7,2.2,2.17,,2.00%
Yemen,YEM,,,,,,,,,,,,,,,,,,144,,,17.1,13.57,,4.00%
Zambia,ZMB,61.1,62,60.3,62.4,3606,3617,3457,3624,5.2,4.62,3.75,3.73,4.74,4.47,3.7,,3.7,203,76.3,69.3,7.5,13.03,1.30%,1.20%
Zimbabwe,ZWE,36.1,33.8,31.7,33.6,2557,2408,2251,2444,6.14,5.81,5.47,5.82,3.87,,,,3.87,182,141.4,103,5.1,5.17,0.01%,0.70%
