indicator,ISO Country code,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP 2022,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,unemployment (%) 2018,unemployment (%) 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019
Burkina Faso,BFA,41.8,44.2,45.1,48.2,2168,2267,2274,2462,4.05,3.67,,5.63,5.49,5.7,5.52,,5.52,96,40.3,42.3,3,4.76,2.89%,2.40%
Burundi,BDI,8.5,8.7,8.7,8.8,780,783,771,793,6.78,6.37,4.69,4.76,5.08,5.35,5.04,,5.04,64,22.4,20.6,1.6,1.79,1.92%,1.80%
Cabo Verde,CPV,3.7,3.9,3.4,3.6,7028,7475,6376,7028,4.96,5.27,5.29,5.18,5.37,4.73,7.58,,7.58,310,190.5,177.9,10.5,,,
Cambodia,KHM,67.6,72.4,70.1,72.2,4259,4574,4423,4683,1.91,2.6,2.8,3.2,2.16,,,,2.16,210,92.9,113.3,0.3,15.42,2.32%,2.30%
Cameroon,CMR,93.6,96.9,97.3,100.7,3801,3901,3867,4064,2.58,2.66,2.56,3.06,3.03,3.08,3.17,,3.17,163,53.2,54,4.5,0.61,1.02%,1.10%
Canada,CAN,"1,814.80","1,848.90","1,752.20","1,832.10",49993,49299,46572,52085,,,,,,,,,,"4,600",5018.7,5048.4,7.1,3.87,1.32%,1.30%
Central African Republic,CAF,4.4,4.5,4.5,4.6,955,986,989,1021,2.22,1.91,1.75,1.75,1.57,1.77,2.17,,2.17,32,53.7,37.2,6.9,7.51,1.86%,1.50%
Chad,TCD,24.4,25.2,24.8,24.5,1614,1646,1592,1591,2.6,2.4,2.3,2.45,2.26,2.37,2.91,,2.91,100,29.7,29.9,5.8,1.88,2.79%,2.20%
Chile,CHL,468.9,472.5,444.2,496.1,25527,25323,25089,29104,4.73,4.88,5.34,5.42,5.43,,,,5.43,"1,903",1455.1,1375.8,6.6,9.13,1.96%,1.80%
China,CHN,"21,229.40","22,492.60","22,996.40","24,861.30",15496,16652,17189,19338,3.73,3.82,3.79,3.67,3.54,3.54,3.57,,3.57,762,501.1,535.1,4.6,4.82,1.74%,1.90%
Colombia,COL,710.9,733.5,681.8,753.9,15044,15673,14868,16894,4.63,4.47,4.48,4.54,4.45,4.51,4.93,,4.93,853,513.2,495.3,9.9,14.34,3.40%,3.20%
Comoros,COM,2.6,2.6,2.6,2.7,3147,3188,3148,3284,2.74,2.55,,,,,,,,121,69.4,72.3,20,9.45,,
Congo (Dem. Rep.),COD,91.3,95.3,96.9,102.5,1112,1144,1142,1219,1.95,2.17,2.12,1.45,,,2.45,2.7,2.7,34,18.5,20.6,3.6,5.43,0.56%,2.70%
Congo (Rep.),COG,20.6,20.6,19.3,18.6,4022,3987,3689,3617,3.18,3.28,5.24,4.45,3,3.58,4.45,,4.45,203,49.5,48.6,11.2,23.01,2.91%,0.70%
